name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score
IMMUNOHISTOCHEMICAL (lbpr),2.82e-07,1.31,14,442,0,14.44
"Hospitals, Pediatric (hcro)",3.02e-06,3.08,38,262,2,43.51
Galactose (carb),6.68e-23,0.05,2,16,0,2.25
Factor VIIa (aapp),3.71e-22,0.84,3,489,0,3.02
Misoprostol (eico),1.64e-12,0.39,16,147,0,17.74
Wound complication (inpo),4.21e-51,9.02,132,164,25,238.24
"Analysis, Cohort (resa)",2.3e-19,5.13,38,246,17,43.87
Antidiabetics (phsu),7.73e-26,3.85,290,381,27,510.73
Lanugo (bpoc),1.94e-08,0.4,9,114,0,9.71
Alopecia Areata (dsyn),4.41e-08,0.08,4,2,0,3.0
Life Style (socb),1.07e-27,13.58,334,137,36,193.19
Chemical Surfactants (chvf),1.7e-06,1.65,1,245,0,1.0
Pregnant Women (humn),5.92e-79,2.71,1621,2625,74,2622.01
Aldehyde Reductase (aapp),1.95e-08,0.12,3,16,0,3.56
Monoamine Oxidase A (aapp),8.31e-07,0.09,2,7,0,2.57
Interferon Alfa-2a (aapp),2.69e-06,0.29,3,41,0,3.22
Gastrectomy (topp),0.0,7.56,1112,1586,331,1891.66
bevacizumab (phsu),3.99e-45,0.93,21,1336,9,21.33
Amphibia (amph),6.81e-11,0.31,1,165,0,1.01
Methyltransferase (aapp),5.79e-14,0.16,2,45,0,2.09
Synovial Membrane (bpoc),4.71e-26,0.11,17,26,0,28.12
Mammalian Cell (cell),3.9e-59,0.08,3,85,0,3.11
Laparoscopic adjustable gastric banding (topp),6.64e-25,18.14,316,49,97,56.6
Areae (plnt),1.86e-06,0.78,180,2102,19,195.41
Gastric ulcer (dsyn),1.54e-17,0.28,16,124,1,18.06
eIF-2 Kinase|PKLR|EIF2AK2 (aapp),1.96e-10,0.1,1,20,0,1.05
Public school (orgt),6.29e-07,8.46,105,3,1,3.09
Stress (fndg),6.32e-12,0.97,596,1129,24,910.63
"Fatty Acids, Nonesterified (lipd)",5.32e-72,1.56,391,103,8,130.13
High Risk Populations (popg),7.35e-72,5.46,170,906,29,201.9
Mannans (carb),1.17e-06,0.14,1,18,0,1.06
IL2 gene|IL2 (gngm),3.51e-64,0.2,11,278,0,11.44
Granulocyte-Macrophage Colony-Stimulating Factor|LAMC2 (aapp),3.43e-12,0.29,2,111,0,2.04
Gut (bpoc),1.59e-10,0.66,113,729,3,130.52
Tetanus (dsyn),4.11e-12,0.86,2,248,0,2.02
Corneal Diseases (dsyn),4.22e-32,0.06,5,24,0,6.04
Animalia (anim),1.02e-43,0.43,66,744,1,71.85
Basement membrane (tisu),3.28e-37,0.1,4,71,0,4.23
Absence of pain sensation (sosy),9.52e-13,0.32,36,113,4,47.47
Ciprofloxacin (orch),1.93e-32,0.29,5,284,1,5.09
LY 294002 (phsu),7.21e-18,0.17,1,62,0,1.02
Vitamin B 12 (vita),1.55e-07,1.82,167,156,7,301.72
Peritonitis (dsyn),4.3e-09,1.57,32,1289,26,32.79
cytarabine/daunorubicin protocol (topp),6.5e-09,3.8,20,60,4,26.67
purification (lbpr),2.64e-52,0.12,5,124,1,5.2
Formaldehyde (hops),2.77e-14,0.11,2,28,0,2.14
Insurance (idcn),5.9e-08,4.81,22,133,2,25.64
Vasculitis (dsyn),2.71e-15,0.73,12,768,0,12.19
INHIBIN (aapp),2.44e-07,0.21,16,21,0,28.19
Banding procedure (topp),2.75e-08,2.37,35,126,9,44.72
rho|RHO|RHOD (aapp),3.5e-15,0.07,2,18,0,2.22
Urethra (bpoc),1.97e-08,0.26,13,51,0,16.31
Lamivudine (nnon),1.05e-11,0.42,14,364,2,14.54
"Spectrum Analysis, Mass (lbpr)",3.21e-11,0.38,40,153,1,50.46
Carcinogenicity (neop),1.45e-09,0.28,2,65,0,2.06
Meningitis (dsyn),6.3e-49,1.23,9,1472,0,9.06
Microspheres (mnob),5.64e-10,0.18,1,36,0,1.03
Increased uric acid level (fndg),4.86e-08,9.99,19,23,0,34.7
Chemicals (chem),2.97e-43,0.39,45,505,0,49.01
Lymphocyte Function-Associated Antigen-1 (aapp),9.45e-10,0.1,3,14,0,3.64
Acquired Immunodeficiency Syndrome (dsyn),4.51e-54,0.98,239,3966,43,253.4
N-terminal pro-B-type natriuretic peptide|HSD3B1 (horm),1.35e-93,8130.7,33,256,11,37.25
Larva (invt),3.44e-27,1.21,3,751,0,3.01
T-Cell Receptor (aapp),7.41e-50,0.1,2,100,0,2.04
Gastric banding (topp),3.61e-19,16.38,222,38,77,44.5
Acetazolamide (orch),3.09e-06,0.25,14,30,0,20.53
Cavia (mamm),2.78e-251,0.04,4,183,0,4.09
Congenital Disorders (dsyn),2.87e-07,0.91,7,235,1,7.21
Entrapment (anab),8.71e-08,0.31,7,60,0,7.82
QUANTUM (phsu),3.81e-14,0.02,1,2,0,1.5
Transjugular intrahepatic portosystemic shunt procedure (topp),9.65e-10,0.82,27,519,1,28.4
Anions (elii),9.93e-72,0.05,7,56,0,7.88
Co-morbid conditions (fndg),3.13e-99,7.92,139,756,54,164.56
Hepatitis B Surface Antigens (imft),3.22e-07,0.43,13,105,3,14.61
Epilepsy (dsyn),4.1e-93,0.43,194,1497,7,219.14
Arylesterase (aapp),2.3e-06,1.25,52,46,5,86.69
Hematopoietic stem cells (cell),4.29e-38,0.27,8,247,0,8.26
Azoospermia (dsyn),2.32e-06,0.23,22,12,0,18.55
Coronary heart disease (dsyn),0.0,3.89,1321,4320,408,1724.94
Prognostic Factor (clna),3.65e-06,6.76,79,6836,120,79.91
BAX gene|BAX (gngm),3.28e-25,0.34,13,306,0,13.55
Stratum corneum (tisu),1.36e-16,0.04,1,10,0,1.1
Trimethoprim-Sulfamethoxazole Combination (orch),1.75e-15,0.86,8,481,9,8.13
Lupus Nephritis (dsyn),5.73e-12,0.79,9,429,1,9.19
Soluble antigen (imft),1.53e-07,0.16,1,22,1,1.05
Bromocriptine (phsu),4.74e-31,0.1,11,42,0,13.88
Opioids (phsu),9.62e-19,0.55,110,636,8,129.03
day (tmco),9.1e-23,3.58,187,2187,38,202.99
Structure of mucous membrane of nose (tisu),9.7e-20,0.09,1,33,0,1.03
Cytotoxic agent (phsu),9.26e-11,0.92,3,309,5,3.03
Sodium Nitroprusside (phsu),1.45e-17,0.19,16,60,3,20.27
Diethylstilbestrol (hops),1.21e-10,0.37,7,183,1,7.27
Delayed Graft Function (patf),2.37e-10,3.52,26,168,15,30.02
Interstitial Cystitis (dsyn),8.3e-07,0.11,5,4,0,7.2
Lymphoid Tissue (tisu),6.24e-13,0.28,2,109,0,2.04
Diabetic (fndg),5.98e-175,3.31,4497,5643,454,8080.73
Universities (orgt),1.26e-82,2.54,643,1463,45,925.6
Classification (clas),1.09e-75,3.59,230,731,28,302.37
Plasticity (npop),1.69e-71,0.08,18,87,0,21.72
Term Birth (orgf),9.05e-10,5.96,31,45,2,52.36
Left ventricular mass (fndg),1.22e-44,8.67,401,261,72,430.88
Entire paraventricular nucleus (blor),5.43e-11,0.1,5,13,0,6.92
Head (blor),2.12e-55,0.99,151,3093,12,158.37
Nephrolithiasis (dsyn),6.09e-13,2.28,114,43,2,59.22
Streams (npop),4.49e-11,0.23,1,53,1,1.02
Mucormycosis (dsyn),3.09e-07,2.49,1,413,0,1.0
RIBOSOMAL (celc),2.06e-14,0.14,2,41,0,2.1
CD40 Ligand (aapp),7.74e-08,0.24,2,40,0,2.1
6-Mercaptopurine (phsu),9.42e-09,0.27,5,54,0,5.46
Concanavalin A (aapp),2.67e-35,0.09,5,54,0,5.46
Smoker (fndg),1.76e-34,2.7,512,901,55,802.95
Laparoscopic-assisted right colectomy (topp),1.04e-09,9.37,17,25,2,28.56
Centrifugation (lbpr),4.19e-12,0.1,3,18,0,3.5
Leukotrienes (bacs),2.58e-16,0.15,3,49,0,3.18
Dinoprost (horm),1.08e-31,0.11,15,44,1,20.11
Fetal Growth Retardation (patf),4.01e-18,2.17,142,602,15,175.5
Phytohemagglutinins|LBR (aapp),1.22e-07,0.14,4,13,1,5.23
One-Step dentin bonding system (bodm),3.84e-07,0.14,3,17,0,3.53
uptake (phsf),1.42e-74,0.18,68,255,2,86.13
Ligands (chem),1.09e-18,0.13,2,46,0,2.09
Leptin|HSD3B1 (aapp),3.34e-121,3303.6,696,66,24,72.26
"Tomography, Emission-Computed, Single-Photon (diap)",5.05e-13,0.44,66,271,2,82.07
Thrombus (dsyn),1.5e-23,1.07,102,1865,14,107.58
Chromosome Pairing (celf),4.76e-88,0.06,10,77,0,11.3
Pre-diabetic (fndg),1.17e-23,12.55,172,98,17,153.84
Aryl Hydrocarbon Receptor|AHR (aapp),5.14e-13,0.16,5,40,0,5.62
FNDC5 (gngm),3.44e-09,3.67,51,2,1,2.08
Sjogren's Syndrome (dsyn),3.93e-20,0.17,9,67,0,10.21
Asparagine (aapp),1.66e-07,0.16,4,19,1,4.84
"MAPK14 protein, human|MAPK14 (aapp)",2.12e-23,0.18,5,85,0,5.29
nigrostriatum (bpoc),1.98e-09,0.09,2,12,0,2.33
depolarization (patf),7.26e-44,0.07,1,55,0,1.02
Structure of arteriole (bpoc),1.79e-22,0.31,8,168,1,8.38
"Breast Feeding, Exclusive (inbe)",1.13e-09,5.15,33,52,0,53.94
peroxisome (celc),1.4e-19,0.05,1,15,0,1.07
"Interleukin 2 Receptor, Alpha|IL2RA|ISG20 (aapp)",2.07e-13,0.34,7,134,0,7.37
Racial group (popg),1.65e-260,5.94,737,1206,99,1187.39
Bicarbonates (inch),1.72e-08,0.41,30,134,7,36.72
Levodopa (aapp),2.7e-78,0.07,15,79,0,17.85
Chemotactic Factors (bacs),3.51e-16,0.32,8,127,0,8.5
Apolipoproteins B|APOB (aapp),3.5e-38,2.13,255,81,10,106.73
Detrusor (bpoc),1.46e-07,0.27,41,24,1,38.05
Pseudomonas aeruginosa (bact),3.32e-23,0.77,24,1088,6,24.53
Transforming Growth Factor alpha (aapp),2.83e-16,0.11,2,35,0,2.11
beta-2 Adrenergic Receptors (aapp),2.2e-06,0.36,17,72,0,21.01
Evaluable Disease (dsyn),2.93e-06,2.23,36,1293,2,37.0
Leg (blor),3.79e-07,1.24,124,207,3,198.28
Young adult (humn),3.31e-110,3.42,1467,2088,89,2497.69
Enhancer (nnon),3.41e-14,0.14,5,36,0,5.69
Functional Status (fndg),1.41e-56,4.35,152,718,31,184.18
Naloxone (orch),8.19e-57,0.1,6,106,0,6.34
Assessment procedure (hlca),1.06e-308,2.78,2180,4707,193,3189.65
Locally Advanced Malignant Neoplasm (neop),2.03e-08,1.91,23,1250,17,23.42
Thromboplastin (aapp),1.47e-25,0.34,29,255,2,32.3
Glycine max (plnt),4.71e-20,0.09,1,35,0,1.03
Country (geoa),5.36e-08,2.22,166,1452,24,184.98
Disease Outcome (fndg),9.95e-14,5.39,38,383,12,41.77
Platelet-Derived Growth Factor (aapp),6.81e-44,0.1,2,86,0,2.05
Carotid Body (bpoc),3.05e-11,0.12,4,21,0,4.76
Chronic Obstructive Airway Disease (dsyn),6.32e-202,2.21,1115,4537,393,1389.02
Sarcoidosis (dsyn),8.38e-44,0.26,24,280,1,26.06
Brothers (humn),3.25e-06,0.46,12,102,3,13.41
Calcineurin (aapp),1.03e-22,0.14,2,63,1,2.06
Iron (phsu),7.34e-17,0.55,364,1051,16,490.07
Cytomegalovirus Infections (dsyn),1.46e-29,0.84,10,772,3,10.13
"Nephrolithotomy, Percutaneous (topp)",1.07e-15,3.0,131,26,1,31.16
Small RNA (bacs),1.32e-14,0.32,6,134,0,6.27
Protein Biosynthesis (moft),1.93e-20,0.22,31,91,1,41.56
Chickens (bird),4.94e-18,1.04,4,467,0,4.03
Neurilemmoma (neop),2.75e-30,0.15,3,88,0,3.1
Dilution (lbpr),4.82e-07,0.96,141,120,4,222.13
Infiltration (patf),1.36e-37,1.03,91,2068,6,95.0
Sphingosine (bacs),2.16e-07,0.09,2,9,0,2.44
PTPRC gene|PTPRC (gngm),1.58e-09,0.29,5,65,2,5.38
General Population (popg),0.0,5.87,1919,4182,340,2799.57
gefitinib (orch),1e-16,0.76,3,554,0,3.02
Drug Delivery Systems (medd),7.75e-08,0.31,2,72,0,2.06
Drainage procedure (topp),1.17e-10,1.56,74,1850,18,76.96
Dutch Population (humn),1.95e-10,3.89,27,63,0,38.57
Muscle function (ortf),2.23e-28,1.3,216,95,13,136.78
Dopamine Receptor (aapp),8.05e-23,0.09,9,19,1,13.26
Caudal (blor),1.35e-24,0.24,13,136,0,14.24
Recombinant Interferon-gamma|CALR (aapp),1.54e-09,71.43,7,50,0,7.98
Tyrosine (aapp),6.38e-27,0.16,26,68,0,35.94
Bone structure of ischium (bpoc),2.91e-40,2.39,1188,758,32,1241.64
Somatomedins|BP3 (horm),7.92e-10,39.33,23,15,0,24.78
Trans-Activation (Genetics) (genf),1.33e-14,0.14,4,38,0,4.42
Invagination (anab),6.83e-10,0.12,3,19,0,3.47
QT interval feature (fndg),7.21e-07,2.27,39,166,7,48.16
Endopeptidases|ERVK-10 (phsu),1.17e-49,0.12,6,111,0,6.32
Vascular function (clna),2.69e-07,5.92,103,82,4,147.28
Bromodeoxyuridine (phsu),2.69e-14,0.12,4,29,0,4.55
smooth muscle contraction (ortf),4.41e-09,0.16,4,27,0,4.59
Granulation Tissue (tisu),3.11e-07,0.24,1,35,0,1.03
Monoclonal Antibody HuM291 (gngm),6.09e-07,0.15,2,19,0,2.21
Pulse Pressure (orgf),5.71e-70,7.04,193,279,30,326.51
Betamethasone (horm),1.78e-06,0.36,3,79,1,3.11
VIP gene|VIP (aapp),3e-07,0.11,2,13,0,2.31
Cerebellum (bpoc),5.87e-120,0.22,33,584,0,34.86
Parasitemia (dsyn),4.58e-12,1.14,6,402,0,6.09
Myogenesis (ortf),3.32e-06,0.12,2,12,0,2.33
Morphogenesis (orgf),2.18e-30,0.18,4,116,0,4.14
Frozen Sections (tisu),7.97e-16,0.27,6,97,0,6.37
Attention deficit hyperactivity disorder (mobd),1.03e-33,0.24,171,67,1,93.25
Trehalose (bacs),4.65e-10,0.12,2,21,0,2.19
Tetracycline (antb),6.31e-25,0.17,2,87,0,2.05
Ear structure (bpoc),2.29e-19,0.18,7,71,1,7.69
sex (orga),1.52e-74,6.77,506,487,57,955.71
MYH14 (gngm),1.04e-22,0.06,4,20,0,4.8
Ionomycin (lipd),3.39e-14,0.06,3,10,0,3.9
Ontario (geoa),1.65e-07,4.36,31,270,3,34.56
"Receptors, Metabotropic Glutamate (aapp)",5.58e-16,0.03,1,7,0,1.14
Melphalan (aapp),4.22e-16,1.3,4,581,2,4.03
Cerebral hemisphere hemorrhage (patf),3.6e-08,2.32,36,1752,13,36.74
Chronic prostatitis (dsyn),1.15e-06,0.05,1,3,0,1.33
Microscope (medd),3.76e-19,0.12,2,45,0,2.09
Anabolism (biof),1.75e-09,0.25,20,43,2,29.3
UVRAG|TP63|CKAP4 (gngm),4.95e-06,0.31,1,74,0,1.01
Spermatogenesis (celf),5.73e-18,0.12,13,23,0,20.35
Urinary Calculi (fndg),5.83e-12,1.48,70,31,0,44.73
Stroma (bpoc),3.12e-40,0.4,42,1016,3,43.74
silybin (orch),7.12e-07,0.22,3,31,0,3.29
Common wart (dsyn),1.07e-08,0.11,1,15,1,1.07
"Lichen Planus, Oral (dsyn)",5.56e-10,0.05,1,8,0,1.12
Dietary protein intake (fndg),1.07e-06,11.08,33,21,7,34.36
Moving (orgf),5.3e-15,0.2,7,61,0,7.8
Locomotion (orgf),9.54e-14,0.17,13,38,0,17.45
Body Weight Changes (fndg),2.22e-14,20.4,501,70,64,79.78
Somatostatin|SST (aapp),2.52e-17,0.25,20,99,0,24.04
Tissue membrane (tisu),5.1e-176,0.09,28,246,3,31.19
Wound Infection (patf),2.72e-41,3.37,134,581,34,164.91
Malignant neoplasm of brain (neop),4.06e-08,1.31,2,264,0,2.02
Octreotide|PLXNA2 (aapp),1.38e-18,90.88,13,122,1,14.39
MICE gene|MICE (gngm),4.14e-07,0.09,1,10,0,1.1
Neural Development (orgf),6.89e-33,0.14,14,83,0,16.36
Youth (humn),2.57e-90,3.23,1527,462,21,601.78
Bupivacaine (orch),1.68e-06,0.32,46,47,2,91.02
African race (humn),1.06e-49,2.71,407,855,50,600.74
"Recipient, Transplant (humn)",2.49e-27,2.51,449,5013,146,489.22
Danazol (phsu),1.13e-09,0.14,6,18,1,8.0
GPI gene|GPI (aapp),5.02e-26,0.19,12,101,1,13.43
CATALASE (aapp),2.38e-22,0.27,25,155,0,29.03
MSC gene|MSC (gngm),1.84e-13,0.25,5,77,0,5.32
Insemination (ortf),1.69e-06,0.18,2,23,0,2.17
CUX1|HCLS1|TNFRSF1B|PSIP1|SIGLEC7 (aapp),6.29e-09,0.12,1,19,0,1.05
Breast Cancer Treatment (topp),2.34e-06,3.4,21,85,1,26.19
Neural Stem Cell (cell),6.93e-20,0.11,1,42,0,1.02
Pyruvate Kinase (aapp),2.12e-11,0.12,1,24,1,1.04
Vaccines (imft),9.85e-90,0.76,33,3420,6,33.32
Gastric Bypass (topp),1.21e-66,17.48,456,159,122,214.44
T-Cell Activation (celf),1.18e-12,0.34,9,112,1,9.72
Hirsutism (fndg),1.67e-38,2.63,140,5,1,5.18
Parotid Gland (bpoc),1.41e-16,0.33,7,181,0,7.27
Acute leukemia (neop),5.64e-32,1.03,14,1049,7,14.19
Biopsy (diap),4.79e-14,1.3,1293,4275,51,1684.08
Curcumin (phsu),1.6e-50,0.17,14,176,1,15.11
Fluorescein (irda),6.46e-09,0.08,1,12,0,1.08
caspase-3 (aapp),4.15e-20,0.36,11,368,0,11.33
Hypoalbuminemia (fndg),9.6e-22,5.41,32,295,30,35.47
Ureterolithiasis (dsyn),9.61e-08,1.27,52,11,0,13.33
Grains (plnt),2.07e-11,0.18,1,40,1,1.03
Selenium and Vitamin E Efficacy Trial (resa),4.16e-06,2.14,77,500,8,88.86
Neutrophil Infiltration (phsf),1.04e-08,1.23,2,264,0,2.02
Mitosis (celf),3.97e-32,0.19,10,123,3,10.81
Hydroxyproline (aapp),4.5e-10,0.26,8,60,0,9.07
Polysaccharides (carb),6.65e-115,0.15,19,333,1,20.08
Aorta (bpoc),1.38e-29,0.85,306,3793,60,330.69
"Kidney Failure, Chronic (dsyn)",1.35e-193,2.75,1102,6664,305,1284.23
Entire substantia nigra (bpoc),1.1e-66,0.05,2,68,0,2.06
Benzene (hops),2.64e-12,0.14,7,25,0,8.96
WARS (gngm),2.61e-06,2.59,36,7,0,8.36
Glucosephosphate Dehydrogenase (aapp),8.37e-12,0.11,1,24,0,1.04
Dancer (humn),2.93e-09,1.66,38,2,0,2.11
Immunosuppressive Agents (phsu),5.23e-11,1.02,33,710,10,34.53
Gymnasts (humn),3.99e-13,2.78,46,1,0,1.02
Natives (popg),6.16e-28,3.51,82,210,6,114.02
Cryopreservation (lbpr),2.89e-12,0.21,4,55,0,4.29
Bone structure of lumbar vertebra (bpoc),2.02e-11,1.75,51,17,0,22.67
American (humn),3.51e-60,2.87,227,670,31,303.91
corporation (orgt),3.69e-09,7.52,13,23,8,20.35
Mesenteric Arteries (bpoc),8.29e-22,0.14,2,61,0,2.07
structural equation model (resa),5.99e-08,1.92,33,8,1,9.94
Labyrinth (bpoc),4.58e-36,0.08,5,51,0,5.49
vitamin therapy (topp),3.12e-08,3.09,27,76,1,36.59
"Purpura, Thrombocytopenic, Idiopathic (dsyn)",1.96e-16,0.29,4,121,1,4.13
Chloroform (hops),4.65e-11,0.16,1,35,0,1.03
adipocyte differentiation (celf),2.32e-11,1.43,64,14,0,17.06
"1,2-diacylglycerol (bacs)",8.83e-12,0.15,17,12,0,20.47
Medical center (hcro),1.9e-75,4.02,196,694,38,251.35
Membrane Transport Proteins (aapp),2.33e-61,0.2,48,256,3,57.0
beta-Lactams (antb),1.92e-09,0.81,3,242,0,3.04
"Staplers, Surgical, Circular (medd)",1.25e-09,5.0,17,38,5,24.61
"Mice, Inbred NOD (mamm)",1.19e-19,0.17,2,66,0,2.06
Experimental Autoimmune Encephalomyelitis (emod),2.01e-20,0.11,2,41,0,2.1
Titanium (elii),2.54e-09,0.08,3,8,0,4.12
PTPN11 gene|PTPN11 (gngm),2.42e-13,0.26,6,79,0,6.46
Death (finding) (fndg),3.24e-30,7.55,76,10915,319,76.53
postnatal development (orgf),7.35e-07,0.22,3,32,0,3.28
Ring device (medd),3.16e-38,0.12,10,84,0,11.19
Excitability (sosy),1.7e-38,0.1,10,65,0,11.54
Cell Growth (celf),3.29e-81,0.29,25,623,1,26.0
Albuminuria (fndg),3.55e-58,4.66,207,363,23,325.04
"DNA, Complementary (nnon)",2.12e-53,0.12,4,117,2,4.14
Entire olfactory bulb (bpoc),1.42e-24,0.05,2,18,0,2.22
Platinum (elii),3.3e-14,0.98,1,337,2,1.0
Orthomyxoviridae (virs),1.75e-24,1.03,3,620,2,3.01
Low risk pregnancy (orgf),1.96e-07,5.39,13,35,1,17.83
Thyrotropin (aapp),1.49e-23,1.3,204,127,1,206.06
Anesthesiologist (prog),6.83e-09,2.78,39,217,11,46.01
Geriatric Assessment (hlca),1.07e-06,6.5,15,203,6,16.11
leukemia (neop),9.21e-37,0.75,42,2003,12,42.88
ABCG2 gene|ABCG2 (gngm),1.46e-06,0.34,9,60,0,10.35
Prosencephalon (bpoc),9.97e-57,0.07,4,74,0,4.22
Flavonoids (orch),5.78e-25,0.3,34,205,2,39.64
Substance P (aapp),4.12e-84,0.04,7,51,0,7.96
Mutagens (hops),2.73e-40,0.09,2,67,2,2.06
Lithium (elii),1.86e-33,0.23,29,174,3,33.83
Risk Assessment (hlca),2.27e-26,4.18,88,609,21,100.72
CDK2 gene|CDK2 (gngm),5.62e-12,0.18,1,43,0,1.02
Puerto Ricans (humn),7.25e-07,3.09,22,55,0,30.8
Kininogenase (aapp),2.65e-08,0.13,1,20,0,1.05
Entire gastrocnemius (bpoc),1.61e-06,0.31,43,39,2,74.37
"Surgical Procedures, Laparoscopic (topp)",3.07e-229,5.1,389,968,117,545.32
Biosensors (medd),2.4e-21,0.08,2,30,0,2.13
Xeroderma Pigmentosum (neop),5.54e-10,0.13,1,26,0,1.04
Revascularization - action (topp),9.01e-10,3.47,42,4289,46,42.41
Lysosomal (blor),2.52e-18,0.19,6,69,1,6.52
DNA Fragmentation (moft),2.99e-07,0.15,2,20,0,2.2
"DNA, Mitochondrial (bacs)",2.24e-09,0.38,45,130,1,60.58
Isomerism (npop),2.25e-07,0.21,7,29,0,8.69
Bulimia (mobd),3.4e-27,3.71,347,61,11,71.72
Short stature (fndg),1.77e-17,2.6,193,62,14,81.92
New Zealand white rabbit (mamm),3.9e-09,0.23,2,44,0,2.09
Index (inpr),2.85e-11,5.29,14,40,8,18.9
Virus Diseases (dsyn),4.87e-48,1.01,182,3204,10,192.34
Microelectrodes (medd),5.02e-13,0.04,1,6,0,1.17
Radical hysterectomy (topp),9.33e-10,2.81,53,348,13,61.07
Dialysis procedure (topp),6.05e-23,3.22,166,2499,109,177.03
Panic Disorder (mobd),1.65e-14,0.2,21,44,2,31.02
imiquimod (phsu),5.81e-10,0.14,1,28,0,1.04
Cell division (celf),1.01e-27,0.18,6,103,0,6.35
"Antiretroviral Therapy, Highly Active (topp)",1.63e-11,2.9,94,849,21,104.41
Cell Nucleus (celc),1.08e-14,0.27,1,118,0,1.01
Cyclosporine|RIT2 (aapp),6.28e-49,892.46,23,141,2,26.75
wave (npop),1.47e-08,0.45,84,211,5,117.44
Fibronectins (aapp),3.16e-95,0.08,14,137,0,15.43
Uveitis (dsyn),1.7e-35,0.08,6,49,0,6.73
Vaccinated (fndg),5.23e-07,1.37,9,422,3,9.19
Primary Carcinoma (neop),1.06e-27,1.02,10,805,2,10.12
Doxycycline (antb),6.47e-10,0.35,4,174,0,4.09
disease characteristic (patf),1.3e-15,7.01,25,108,5,30.79
Isoflurane (orch),1.12e-26,0.19,11,104,1,12.16
Glucosamine (carb),2.23e-07,0.15,6,13,1,8.77
Rough endoplasmic reticulum (celc),1.14e-07,0.11,4,10,0,5.6
Vestibule (bsoj),2.75e-06,0.17,5,17,0,6.47
4-methoxyamphetamine (hops),3.3e-38,0.04,1,23,1,1.04
Mazes (mnob),1.31e-09,0.21,2,41,0,2.1
Thoracotomy (topp),1.82e-09,2.29,10,1092,9,10.09
Glutathione Reductase|GSR (aapp),3.04e-08,0.24,12,40,0,15.6
Paclitaxel (phsu),2.03e-73,0.88,20,1759,6,20.23
Gastrin|GAST (gngm),1.18e-17,0.11,8,27,0,10.37
Interleukin-2 (gngm),1.37e-77,0.27,26,502,0,27.35
Nicardipine (orch),9.69e-15,0.12,1,35,0,1.03
CARDIAC EVENT (dsyn),1.6e-13,4.58,68,1508,50,71.07
Prognosis bad (fndg),4.52e-11,6.61,95,5836,112,96.55
Cachexia (sosy),4.51e-60,5.53,143,264,51,220.46
Carboxylic Acids (orch),1.95e-09,0.07,2,8,0,2.5
Marsupialia (mamm),1.16e-06,0.13,2,14,0,2.29
Structure of retinal pigment epithelium (bpoc),1e-36,0.05,6,17,0,8.12
Dyssomnias (dsyn),8.44e-17,1.75,72,21,4,27.12
Pericytes (cell),1.27e-12,0.11,2,25,0,2.16
RABBIT SERUM (orch),4.11e-07,0.09,1,11,0,1.09
Early Intervention (Education) (topp),7.45e-12,4.41,27,68,1,37.72
External Ear (bpoc),7.68e-11,0.24,1,56,0,1.02
T-Lymphocyte (cell),0.0,0.24,43,1782,3,44.04
Niacinamide (orch),3.89e-13,0.17,3,45,0,3.2
"APEX1 protein, human|APEX1 (aapp)",7.01e-18,0.38,27,212,0,30.44
Helicobacter Infections (dsyn),1.69e-06,1.03,132,160,0,240.9
Entire lumbar spine (blor),5.6e-61,4.87,1042,142,16,161.35
Urban Population (popg),1.13e-14,7.08,254,160,24,260.79
Cyclooxygenase Inhibitors (phsu),4.62e-09,0.38,13,103,0,14.64
"Electrophoresis, Capillary (lbpr)",1.21e-06,0.14,2,16,0,2.25
Meetings (hlca),8.56e-11,2.99,40,99,7,56.16
Medulla (bpoc),1.28e-52,0.12,3,123,0,3.07
Retinal Diseases (dsyn),8.42e-12,1.28,205,326,11,333.91
free radical oxygen (bacs),1.32e-09,0.23,2,46,0,2.09
MEDITERRANEAN (fndg),3.15e-08,5.91,64,63,3,125.02
Structure of paraventricular nucleus (bpoc),3.24e-06,0.06,1,5,0,1.2
lipid raft (celc),4.59e-11,0.13,1,28,0,1.04
Severe malnutrition (dsyn),1.21e-40,6.64,56,224,24,70.0
Nucleocapsid Proteins (aapp),4.34e-07,0.18,1,26,0,1.04
neuroblastoma cell (cell),4.69e-15,0.23,1,71,0,1.01
"Microscopy, Fluorescence (lbpr)",2.31e-11,0.13,1,28,0,1.04
Nucleus solitarius (bpoc),1.25e-19,0.09,3,28,0,3.32
Elements (elii),1.11e-22,0.37,71,299,8,87.86
Polycystic Ovary Syndrome (dsyn),1.42e-320,4.8,2497,89,25,92.17
"Lens, Crystalline (bpoc)",2.13e-72,0.06,14,47,2,18.17
LDL Cholesterol Lipoproteins (bacs),2.43e-24,6.0,779,496,52,811.81
Oral contraception (topp),4.62e-06,1.97,32,11,0,14.78
Right hemicolectomy (topp),2.9e-15,4.81,30,172,13,35.23
Swimmer (humn),3.78e-10,1.48,50,3,0,3.18
Diarrhea (sosy),4.66e-21,1.17,80,1785,16,83.59
Silver (bacs),6.51e-10,0.29,3,65,0,3.14
myometrium (bpoc),1.56e-17,0.19,14,61,1,17.21
Health Surveys (resa),8.02e-17,5.96,110,116,15,214.31
Serine Protease (aapp),9.67e-25,0.26,11,148,0,11.82
penis (bpoc),3.98e-13,0.43,35,214,2,40.72
Oligonucleotides (nnon),9.49e-25,0.08,1,38,0,1.03
