name,mean_cp,mean_odds,uniq_a,uniq_b,shared,score,treeLevel
Food Analysis,1.32e-07,0.1,5,5,0,10.0,2.0
Pancreatectomy/adverse effects,2.5e-14,9.63,13,119,12,14.42,3.0
Hysterectomy/statistics & numerical data,2.84e-10,6.6,15,44,3,20.11,4.0
Frail Elderly,1.81e-28,4.34,73,374,20,87.25,5.0
Adenoidectomy,1.67e-09,1.93,35,6,0,7.03,3.0
Mitochondria/drug effects,2.19e-10,0.3,3,79,0,3.11,4.0
Parathyroid Hormone/pharmacology,1.26e-06,0.04,1,2,0,1.5,4.0
Hemodynamics/physiology,3.81e-06,1.58,86,284,6,112.04,3.0
Lung Neoplasms/therapy,6.04e-13,2.9,2,1019,2,2.0,3.0
Glutathione/metabolism,1.71e-13,0.17,7,46,0,8.07,4.0
Reaction Time/physiology,1.61e-08,0.14,11,5,0,7.27,3.0
Blood Glucose/metabolism,5.62e-10,6.96,1567,651,48,921.45,5.0
Proto-Oncogene Proteins/metabolism,8.37e-11,0.38,9,191,0,9.42,5.0
Writing,2.81e-18,0.03,1,7,0,1.14,5.0
Malnutrition/epidemiology,8.91e-70,22.11,247,140,42,219.35,3.0
Membrane Proteins,9.23e-13,0.18,8,43,0,9.49,3.0
Famous Persons,9.09e-19,0.25,2,106,0,2.04,2.0
Genetic Counseling,8.55e-07,0.17,2,23,0,2.17,4.0
Anticoagulants/administration & dosage,6.54e-07,2.77,66,563,9,73.74,5.0
Brain/blood supply,3.65e-17,0.33,15,155,0,16.45,3.0
p38 Mitogen-Activated Protein Kinases/metabolism,4.58e-08,0.24,1,41,0,1.02,5.0
Hyperlipidemias/genetics,7.72e-08,2.57,35,4,0,4.46,5.0
"Diabetes Mellitus, Type 1/metabolism",1.61e-07,2.91,99,32,3,42.34,3.0
"Mammary Glands, Animal/metabolism",1.15e-07,0.1,1,14,0,1.07,2.0
Lung Neoplasms/radiotherapy,1.3e-10,2.55,4,766,0,4.02,3.0
Neutrophils/metabolism,5.13e-14,0.32,4,112,4,4.14,3.0
Signal Transduction/physiology,4.46e-73,0.2,17,307,1,17.94,3.0
Child Nutritional Physiological Phenomena,2.26e-10,3.7,169,40,3,49.47,4.0
Hyperuricemia/complications,3.44e-14,9.87,19,33,3,29.94,3.0
Water/chemistry,8.21e-52,0.05,4,47,0,4.34,4.0
"Antigens, Bacterial",6.28e-08,0.1,2,13,0,2.31,3.0
Interleukin-10/blood,5.6e-09,4.06,26,100,1,32.76,5.0
Stem Cell Transplantation/methods,1.97e-06,2.03,3,375,0,3.02,4.0
Testosterone/blood,1.96e-12,4.76,427,92,19,111.82,6.0
Aerospace Medicine,1.69e-10,0.2,12,35,1,16.11,3.0
Cerebral Cortex/physiopathology,7.64e-08,0.17,10,16,0,16.25,7.0
Biosensing Techniques/instrumentation,7.26e-13,0.08,2,18,0,2.22,3.0
Protein-Energy Malnutrition/etiology,4.83e-20,9.81,22,42,11,33.52,6.0
Wound Healing/drug effects,3.32e-07,0.32,14,65,1,17.02,4.0
Lipoproteins/blood,6.59e-42,1.91,232,76,12,100.9,2.0
Drosophila Proteins/genetics,2.74e-08,0.14,1,23,0,1.04,5.0
Stents,1.51e-17,2.87,58,4048,19,58.83,3.0
Microcomputers,1.22e-15,0.03,1,7,0,1.14,5.0
Myocardial Infarction,3.63e-11,0.12,1,26,0,1.04,4.0
Education,1.88e-07,0.18,9,19,1,13.26,1.0
"Antiretroviral Therapy, Highly Active",3.35e-13,4.28,54,699,25,58.17,4.0
"Diabetes Mellitus, Type 2/surgery",1.57e-22,22.68,158,49,30,64.2,3.0
"Water Pollutants, Chemical/chemistry",3.12e-16,0.05,1,14,0,1.07,5.0
Fibroblasts/drug effects,3.78e-11,0.11,3,22,0,3.41,3.0
"Hemoglobin A, Glycosylated/analysis",8.95e-07,5.69,202,133,14,220.57,3.0
Quality of Life,2.34e-266,3.15,1211,2724,119,1749.37,2.0
Colorectal Surgery/methods,4.07e-11,7.91,12,61,7,14.36,4.0
Oxygen/chemistry,1.16e-12,0.06,3,8,0,4.12,3.0
Skin Neoplasms/pathology,3.93e-42,1.16,13,1374,3,13.12,3.0
Urinary Tract Infections/drug therapy,3.85e-10,0.24,3,55,0,3.16,3.0
Mercury/analysis,1.87e-08,0.1,4,9,0,5.78,4.0
Morals,2.52e-11,0.1,3,17,0,3.53,3.0
"Muscle, Skeletal/anatomy & histology",7.97e-09,4.76,112,7,9,7.44,3.0
Reactive Oxygen Species/metabolism,8.34e-23,0.29,10,158,1,10.63,3.0
Radiation Effects,6.1e-55,0.01,1,7,0,1.14,3.0
Pancreatic Fistula/epidemiology,2.9e-08,21.02,6,24,2,7.5,3.0
Arginine/analogs & derivatives,7e-10,2.47,74,172,9,105.84,4.0
Environmental Exposure/adverse effects,7.19e-12,2.62,95,589,9,110.32,4.0
Lung Neoplasms/diagnosis,4.04e-17,1.8,6,1007,5,6.04,3.0
Intraocular Pressure/physiology,6.35e-10,1.51,49,4,0,4.33,2.0
Repressor Proteins/metabolism,3.92e-25,0.22,1,120,0,1.01,4.0
Government Regulation,6.51e-18,0.17,3,62,0,3.15,3.0
Orthopedics,4.87e-12,0.14,4,30,0,4.53,4.0
Sports/psychology,9.95e-07,1.74,26,4,0,4.62,4.0
Vitamin E/pharmacology,2.33e-07,0.24,4,39,0,4.41,4.0
Mediastinum,1.19e-06,0.08,1,9,0,1.11,5.0
Hip Fractures/epidemiology,2.33e-45,8.76,54,139,15,74.98,3.0
Sports/statistics & numerical data,2.79e-06,7.49,42,37,0,69.6,4.0
Proteinuria/epidemiology,7.72e-11,9.08,21,31,0,35.23,4.0
Myocardial Contraction/drug effects,2.92e-19,0.11,2,39,0,2.1,4.0
Bone and Bones/physiology,8.44e-10,1.25,71,13,0,15.38,3.0
Intellectual Disability/genetics,7.62e-09,0.17,5,28,0,5.89,3.0
"Obesity, Abdominal/complications",2.54e-07,43.32,116,11,14,12.04,5.0
Nomograms,3e-10,5.79,25,211,6,27.96,2.0
Ovarian Neoplasms/drug therapy,8.9e-08,2.06,13,882,6,13.19,3.0
Base Sequence,3.03e-07,0.08,1,10,0,1.1,3.0
African Americans/genetics,1.84e-14,6.82,71,78,4,135.63,4.0
"Education, Special",1.61e-07,0.05,2,1,0,1.5,3.0
Sleep Apnea Syndromes/epidemiology,1.69e-07,21.02,163,35,12,42.52,4.0
Television,2.36e-31,2.43,178,32,6,37.75,4.0
Hypertension,8.55e-15,0.15,17,12,3,20.47,3.0
Cerebral Cortex/drug effects,2.53e-13,0.05,1,12,0,1.08,7.0
Insulin/metabolism,2.38e-39,2.05,233,71,6,92.64,7.0
Radiation Tolerance,7.48e-07,0.28,1,50,0,1.02,3.0
Geriatrics,2.14e-37,0.17,5,128,5,5.2,3.0
Respiration,7.15e-14,0.3,88,86,4,170.05,4.0
Obesity/economics,1.87e-08,29.34,155,20,20,22.58,4.0
Blood Circulation,7.13e-22,0.05,1,18,0,1.06,4.0
Death,2e-07,0.76,5,374,7,5.07,3.0
Mitral Valve/surgery,6.06e-09,3.12,1,1021,7,1.0,4.0
Veterans/statistics & numerical data,1.99e-20,5.7,39,199,11,46.64,2.0
Language Development,5.44e-13,0.02,1,1,0,2.0,4.0
Brain/cytology,3.53e-11,0.08,2,13,0,2.31,3.0
Hormones/blood,1.09e-12,2.72,113,29,3,36.44,2.0
Uterine Cervical Neoplasms/pathology,1.42e-10,1.02,7,390,4,7.13,6.0
"Faculty, Medical",2.36e-07,0.07,1,5,1,1.2,3.0
Diabetes Complications/diagnosis,1.1e-07,5.07,17,55,0,22.25,3.0
Brain Ischemia/metabolism,1.1e-07,0.28,3,50,0,3.18,4.0
"Neoplasm Recurrence, Local/etiology",7.87e-08,5.59,14,178,11,15.1,3.0
Multiple Sclerosis/diagnosis,2.93e-06,0.14,3,15,0,3.6,4.0
Hypertension/drug therapy,1.14e-37,1.91,419,1753,41,519.15,3.0
Magnetic Resonance Imaging,7.32e-15,0.53,202,680,3,262.01,5.0
Myocardial Infarction/drug therapy,1.33e-17,2.24,14,1568,5,14.12,4.0
Anti-Inflammatory Agents/pharmacology,4.95e-17,0.33,10,149,0,10.67,4.0
Dental Implants,1.5e-21,0.08,3,30,0,3.3,3.0
"Muscle, Smooth/physiology",5.45e-15,0.03,2,4,0,3.0,3.0
"Hernia, Ventral/surgery",5.47e-12,5.83,142,118,23,216.06,5.0
Neoplasms,9.09e-168,0.03,14,46,0,18.26,1.0
Insulin/secretion,2.01e-82,2.04,296,23,4,24.79,7.0
Gastric Bypass/methods,7.66e-94,33.26,408,109,121,138.12,3.0
Bacterial Physiological Phenomena,1.2e-09,0.15,1,28,0,1.04,2.0
Signal Transduction,3e-70,0.25,25,402,2,26.55,3.0
Evidence-Based Medicine,3.1e-06,1.1,34,622,13,35.86,3.0
Mental Disorders/nursing,9.07e-07,0.12,1,16,0,1.06,1.0
Stomach Neoplasms/genetics,1.55e-08,1.72,6,486,0,6.07,4.0
Postoperative Complications/surgery,1.74e-07,1.95,74,467,29,85.73,3.0
Clinical Competence/standards,1.07e-10,0.39,11,152,0,11.8,3.0
Brain Ischemia/drug therapy,2.55e-11,1.56,1,395,0,1.0,4.0
Physician's Role,1.59e-11,0.47,26,267,1,28.53,6.0
Obstetrics,4.52e-18,0.18,3,69,0,3.13,4.0
Colorectal Neoplasms/epidemiology,1e-91,7.5,138,287,13,204.36,5.0
Schizophrenia/therapy,6.52e-07,0.2,8,23,1,10.78,3.0
Th2 Cells/immunology,2.53e-06,0.33,2,73,0,2.05,9.0
Histamine H1 Antagonists/therapeutic use,8.96e-07,0.06,1,6,0,1.17,7.0
Radiotherapy/methods,1.22e-06,0.98,1,150,0,1.01,2.0
Adiposity,1.28e-09,40.27,842,30,70,31.07,4.0
Proteins/metabolism,2.89e-10,0.39,143,171,5,262.58,2.0
Sulfonamides,5.73e-09,0.09,2,12,0,2.33,3.0
Auditory Perception,2.54e-17,0.01,1,1,0,2.0,4.0
Heart/drug effects,1.81e-25,0.32,26,225,0,29.0,2.0
Bacteria/metabolism,1.01e-31,0.04,4,17,0,4.94,1.0
Postoperative Complications/epidemiology,2.45e-266,8.0,376,2063,144,444.53,3.0
Cardia/pathology,4.51e-07,5.45,13,29,0,18.83,5.0
Dietary Fats/metabolism,2.75e-21,2.0,77,10,1,11.3,3.0
Microfluidic Analytical Techniques/instrumentation,5.9e-08,0.07,1,9,0,1.11,3.0
Blood Pressure Determination,6.15e-07,0.26,24,30,1,43.2,4.0
Vitamin B Complex/administration & dosage,1.85e-08,4.07,18,44,3,25.36,7.0
Nitric Oxide Synthase/metabolism,2.81e-07,0.37,9,79,0,10.03,6.0
Cesarean Section/adverse effects,7.7e-09,2.83,62,125,3,92.75,4.0
Tetrazoles/therapeutic use,2.7e-17,4.57,54,342,8,62.53,4.0
Ubiquitin/metabolism,6.81e-09,0.12,1,21,0,1.05,4.0
Arterial Occlusive Diseases/surgery,3.49e-06,1.45,4,336,3,4.05,3.0
Cervical Vertebrae/injuries,6.31e-07,0.84,2,166,1,2.02,5.0
Fibroblasts/cytology,3.22e-12,0.06,1,12,0,1.08,3.0
Androgen Antagonists/therapeutic use,6.07e-12,4.43,46,424,10,50.99,3.0
Health Status Disparities,9.03e-89,6.57,189,1150,33,220.06,4.0
Aorta,2.56e-15,0.15,1,47,0,1.02,4.0
"Polymorphism, Genetic",9.46e-08,2.49,1134,966,23,1788.89,3.0
Renal Dialysis/adverse effects,9.28e-13,2.77,80,884,52,87.24,3.0
Animal Feed,6.94e-16,0.31,6,120,1,6.3,4.0
Membrane Lipids/metabolism,7.85e-07,0.09,3,5,0,4.8,2.0
Cesarean Section/methods,5.95e-09,3.23,27,72,2,37.12,4.0
Cytochrome P-450 Enzyme System/metabolism,1.2e-26,0.09,4,44,0,4.36,3.0
Substance-Related Disorders,2.29e-20,0.07,1,24,1,1.04,2.0
Contrast Media,8.11e-09,0.39,34,128,1,43.03,3.0
Diet,3.02e-40,3.55,1867,731,101,1017.21,4.0
Nurse's Role,7.37e-14,0.43,22,245,0,23.98,4.0
Genome,1.83e-16,0.09,4,24,0,4.67,3.0
Positive-Pressure Respiration/methods,3.28e-10,3.33,43,241,6,50.67,4.0
Exercise Test/statistics & numerical data,3.77e-12,10.15,14,62,4,17.16,3.0
Peptides/therapeutic use,2.33e-06,2.69,67,123,2,103.5,2.0
Gene Expression Regulation,3.26e-37,0.28,84,269,4,110.23,3.0
"Diabetes Mellitus, Type 1/surgery",3.42e-06,2.64,26,135,8,31.01,3.0
Prostatic Neoplasms/epidemiology,3.15e-88,7.95,118,255,22,172.6,4.0
"Insurance, Health",1.67e-11,0.29,8,84,2,8.76,5.0
Antineoplastic Agents/therapeutic use,3.21e-80,1.98,30,4923,11,30.18,4.0
Carbon/metabolism,3.3e-09,0.27,2,56,0,2.07,3.0
"Behavior, Animal/physiology",2.27e-19,0.27,13,127,2,14.33,3.0
"Nursing Service, Hospital/organization & administration",2.45e-09,0.03,1,3,0,1.33,4.0
Brain Neoplasms/therapy,1.45e-09,2.66,3,687,0,3.01,4.0
Recognition (Psychology)/physiology,2.06e-08,0.06,3,1,0,1.33,5.0
Central Nervous System/physiology,1.39e-10,0.05,3,2,0,3.33,2.0
Milk/chemistry,4.54e-09,0.18,8,28,0,10.29,3.0
Immunoglobulin G/analysis,7.54e-14,0.08,3,15,0,3.6,8.0
Hospital Departments,4e-06,0.22,3,28,0,3.32,4.0
"Pulmonary Disease, Chronic Obstructive/therapy",1.17e-15,5.12,40,447,21,43.58,4.0
Lipopolysaccharides/toxicity,1.8e-06,1.13,1,171,0,1.01,2.0
"Urinary Incontinence, Stress/surgery",4.38e-29,2.28,107,10,0,10.93,5.0
"Aortic Aneurysm, Thoracic/surgery",7.43e-08,5.64,2,1552,4,2.0,5.0
Pancreas/enzymology,1.48e-08,0.11,3,13,0,3.69,2.0
Dietary Fats/pharmacology,1.8e-13,1.47,81,34,0,48.27,3.0
"Chromatography, High Pressure Liquid",3.39e-06,0.07,1,6,0,1.17,5.0
Motor Activity/physiology,4.61e-19,4.69,787,191,30,237.35,3.0
Periodicals as Topic/standards,1.99e-08,0.04,1,4,0,1.25,5.0
Delayed Graft Function/etiology,1.3e-07,11.49,4,16,5,5.0,3.0
Adenocarcinoma/pathology,5.06e-20,1.69,24,1575,9,24.37,5.0
Job Description,1.51e-09,0.06,3,4,0,5.25,4.0
Pancreaticoduodenectomy,3.33e-06,6.81,11,326,14,11.37,3.0
Hemoglobins,4.17e-17,0.08,2,24,0,2.17,4.0
Malnutrition/diagnosis,6.67e-60,28.88,179,93,37,141.32,3.0
Cardiovascular Diseases/diagnosis,4.17e-86,5.42,152,491,42,199.05,1.0
Autonomic Nervous System/physiopathology,3.53e-08,2.69,85,164,19,129.05,3.0
Coronary Artery Disease/rehabilitation,1.11e-14,9.73,21,35,4,33.6,5.0
Hypoglycemic Agents/pharmacology,6.92e-12,1.44,109,104,3,203.23,4.0
Point Mutation,1.32e-08,0.44,29,155,0,34.43,4.0
"Lupus Erythematosus, Systemic/epidemiology",1.22e-08,4.31,21,75,2,26.88,3.0
Colectomy,2.85e-07,3.21,26,209,13,29.23,3.0
Heart Ventricles,5.04e-07,0.28,1,56,0,1.02,3.0
Breast Neoplasms/radiography,2.44e-13,2.42,92,413,7,112.49,3.0
Pregnancy in Diabetics/epidemiology,1.12e-11,10.7,23,29,4,41.24,3.0
Maternal Age,4.07e-06,2.07,44,173,5,55.19,3.0
Surgical Wound Dehiscence/etiology,7.63e-10,4.2,20,53,4,27.55,4.0
Food Contamination/analysis,2.69e-15,0.19,12,58,0,14.48,4.0
Coronary Vessels,4.71e-08,0.27,4,51,0,4.31,4.0
Erythrocytes/drug effects,5.91e-09,0.16,5,27,0,5.93,3.0
Asthma/physiopathology,1.31e-12,1.26,115,82,2,140.47,3.0
"Monitoring, Ambulatory/instrumentation",1.22e-09,2.86,77,17,0,20.75,4.0
"Diabetes Mellitus, Type 1/epidemiology",2.88e-08,7.1,147,95,4,156.39,3.0
Estradiol/pharmacology,9.31e-19,0.17,26,45,0,41.02,5.0
Membrane Potentials/physiology,2.41e-06,0.04,1,2,0,1.5,2.0
Iodine,5.99e-16,0.02,1,2,0,1.5,4.0
Macrophages/metabolism,1.36e-17,0.28,15,123,0,16.83,3.0
Preoperative Care/methods,2.02e-16,3.05,78,425,13,92.32,3.0
Educational Status,1.63e-17,3.29,196,300,15,324.05,3.0
"Metals, Heavy/analysis",1.16e-11,0.1,2,20,0,2.2,3.0
"Ventricular Dysfunction, Left/etiology",1.79e-23,4.66,56,193,6,72.25,4.0
Abdominal Cavity,1.49e-08,0.13,2,18,1,2.22,4.0
Gastroplasty/instrumentation,1.42e-06,24.29,47,7,15,8.04,3.0
Reaction Time,4.3e-08,0.15,10,10,0,20.0,3.0
State Medicine/economics,3.04e-07,0.19,1,28,0,1.04,2.0
Pancreatic Neoplasms/drug therapy,2.62e-10,3.08,2,788,0,2.01,3.0
Protein Kinase C/metabolism,5.93e-29,0.06,4,27,0,4.59,8.0
Osteoblasts/drug effects,5.86e-08,0.09,1,13,0,1.08,3.0
"Antibodies, Monoclonal/administration & dosage",2.77e-06,2.1,7,563,2,7.09,7.0
Fungi,1.77e-11,0.04,1,7,0,1.14,2.0
Alzheimer Disease/metabolism,6.21e-14,0.13,11,23,0,16.26,4.0
Health Status Indicators,4.81e-124,5.12,288,1222,45,355.88,5.0
Albuminuria/diagnosis,1.78e-08,4.34,17,66,5,21.38,5.0
Skin Diseases/drug therapy,3.65e-09,0.07,1,11,0,1.09,2.0
Erythrocytes/metabolism,1.12e-14,0.23,35,59,1,55.76,3.0
Tumor Suppressor Protein p53/metabolism,1.2e-06,0.67,1,387,1,1.0,4.0
Cystectomy/methods,1.7e-13,6.38,32,314,9,35.26,4.0
"Sexual Behavior, Animal",2.21e-06,0.33,5,54,0,5.46,5.0
Cell Respiration,3.08e-13,0.04,3,1,0,1.33,3.0
Coronary Disease/prevention & control,6.11e-17,2.86,84,541,27,97.04,4.0
Sound,9.19e-12,0.08,4,10,0,5.6,4.0
"Drug Resistance, Multiple, Bacterial",1.13e-08,1.68,2,368,0,2.01,4.0
Breast Neoplasms,9.23e-10,0.17,10,25,0,14.0,3.0
Autopsy,8.84e-07,1.12,1,255,5,1.0,2.0
Psychomotor Performance/physiology,1.35e-07,0.27,51,17,1,22.67,2.0
Magnetics,8.27e-21,0.09,3,32,0,3.28,3.0
Nurse Practitioners,1.22e-07,0.22,4,35,0,4.46,4.0
Cisplatin/administration & dosage,3.02e-07,2.62,1,437,0,1.0,3.0
"Muscle, Skeletal/ultrasonography",3.22e-06,2.41,20,1,0,1.05,3.0
Stomach Neoplasms/epidemiology,6.53e-16,4.08,44,149,3,56.99,4.0
Physical Education and Training,2.65e-13,1.3,90,11,0,12.34,3.0
Smoking Cessation,6.12e-11,2.34,64,228,5,81.96,5.0
"Mitochondria, Liver/metabolism",3.02e-16,0.03,1,8,0,1.12,5.0
Child Nutrition Disorders/epidemiology,1.52e-18,11.17,66,63,1,123.14,3.0
Thyroxine/blood,2.51e-06,1.15,60,31,0,47.02,4.0
"Dental Restoration, Permanent",3.91e-07,0.07,3,1,0,1.33,3.0
"Drug Resistance, Microbial",1.11e-27,0.15,1,86,0,1.01,2.0
Nerve Tissue Proteins/blood,1.7e-12,5.34,26,52,1,39.0,3.0
"Pulmonary Disease, Chronic Obstructive/physiopathology",2.92e-61,7.79,200,242,38,365.29,4.0
Testicular Neoplasms/pathology,6.01e-09,0.87,1,175,0,1.01,3.0
Multienzyme Complexes/metabolism,5.19e-11,0.11,3,19,0,3.47,3.0
Mental Recall/physiology,2.65e-06,0.13,7,5,0,8.57,5.0
"Genital Neoplasms, Female/surgery",2.79e-13,3.6,34,87,5,47.29,4.0
Trans-Activators/genetics,2.79e-08,0.37,8,85,0,8.75,4.0
Behavior Therapy,1.2e-34,1.81,145,25,4,29.31,3.0
Ovum,1.72e-06,0.08,1,8,0,1.12,2.0
Cholangiography,3.21e-06,0.13,2,13,0,2.31,4.0
Pancreatic Neoplasms/epidemiology,1.39e-29,11.98,74,79,10,143.32,3.0
Intestinal Mucosa/metabolism,1.61e-08,0.28,11,59,0,13.05,4.0
Publishing/standards,4.56e-07,0.06,1,6,0,1.17,2.0
"Hypertrophy, Left Ventricular/diagnosis",8.9e-22,8.74,60,71,14,110.7,4.0
Lasers,7.57e-27,0.08,6,27,1,7.33,3.0
"Drugs, Chinese Herbal/pharmacology",1.01e-11,0.3,14,93,0,16.11,2.0
"Nursing Staff, Hospital/education",1.5e-10,0.17,1,37,0,1.03,4.0
Skin Diseases/pathology,1.99e-10,0.24,2,55,0,2.07,2.0
Aged,1.89e-07,0.5,23,163,3,26.25,4.0
African Americans/ethnology,8.18e-12,7.41,42,50,3,77.28,4.0
DNA Transposable Elements/genetics,5.61e-08,0.06,1,7,0,1.14,4.0
Inflammation/complications,4.07e-43,5.62,104,192,8,160.33,3.0
Cognition/physiology,2.2e-06,0.87,156,93,4,148.44,3.0
Surgical Mesh,4.79e-07,2.54,105,192,12,162.42,3.0
Antigen-Presenting Cells/immunology,1.61e-07,0.14,1,20,0,1.05,2.0
Myocardial Ischemia/etiology,7.51e-10,3.8,26,162,11,30.17,3.0
Health Facilities,2.12e-12,0.13,1,32,0,1.03,2.0
Bone and Bones/metabolism,8.19e-37,1.78,203,81,3,113.32,3.0
Hypoglycemic Agents/adverse effects,1.52e-11,3.4,45,241,7,53.4,4.0
Stem Cells/cytology,7.39e-18,0.23,16,90,0,18.84,2.0
Lymphocytes/drug effects,1.28e-09,0.18,9,29,0,11.79,5.0
Coronary Vessels/drug effects,1.5e-06,0.21,3,29,0,3.31,4.0
"Antibodies, Monoclonal/immunology",7.89e-44,0.14,2,126,0,2.03,7.0
Visual Perception,9e-23,0.1,18,9,0,13.5,4.0
Vitamin D Deficiency/drug therapy,4.01e-06,4.35,30,45,0,50.0,6.0
HIV Infections/prevention & control,5.23e-25,0.3,5,254,1,5.1,3.0
Genetics,7.23e-13,0.04,2,3,0,3.33,4.0
Asthma/etiology,2.69e-18,1.63,107,56,1,85.31,3.0
Hypertension/prevention & control,1.54e-10,3.25,119,181,9,197.24,3.0
Heart Diseases/blood,3.18e-06,4.09,14,58,3,17.38,2.0
Artificial Intelligence,2.1e-21,0.16,9,64,0,10.27,3.0
B-Lymphocytes/immunology,1.33e-52,0.13,4,137,0,4.12,3.0
Adrenocorticotropic Hormone/pharmacology,4.22e-12,0.09,5,12,0,7.08,7.0
Interleukin-8/blood,1.36e-07,3.86,22,72,0,28.72,5.0
Oceanic Ancestry Group,1.56e-12,2.48,57,161,5,77.18,4.0
Stem Cell Transplantation,1.42e-07,2.33,10,745,0,10.13,4.0
"DNA, Complementary/genetics",4.84e-09,0.07,1,11,0,1.09,5.0
Fundoplication/methods,1.37e-10,3.23,35,84,2,49.58,3.0
Politics,3.13e-46,0.17,7,162,1,7.3,2.0
Vascular Calcification/epidemiology,2.08e-09,15.48,17,19,1,32.21,5.0
Schizophrenia/blood,3.36e-14,3.24,74,5,0,5.34,3.0
Adipocytes/physiology,3.83e-06,1.94,25,6,0,7.44,3.0
Liver/enzymology,8.39e-15,0.29,112,54,5,80.04,2.0
Knee Joint/physiopathology,2.49e-28,2.96,115,4,0,4.14,4.0
Bone and Bones,3.35e-17,0.07,6,8,0,10.5,3.0
Radiometry,1.97e-15,0.04,1,6,1,1.17,2.0
"Pulmonary Disease, Chronic Obstructive/rehabilitation",4.44e-06,5.01,50,53,7,97.17,4.0
Nerve Tissue Proteins,2.69e-14,0.08,3,15,0,3.6,3.0
Sepsis/drug therapy,5.91e-08,5.28,2,1081,0,2.0,3.0
Homocysteine/blood,6.8e-16,5.61,299,236,14,422.27,4.0
"Polymorphism, Single Nucleotide",3.97e-16,3.97,1055,900,21,1667.77,4.0
"Hypertrophy, Left Ventricular/complications",5.39e-24,9.71,44,63,10,74.73,4.0
Macrophages/immunology,2.93e-31,0.26,6,183,0,6.2,3.0
"Renal Insufficiency, Chronic/epidemiology",2.6e-44,8.63,58,142,10,81.69,5.0
Nerve Tissue Proteins/biosynthesis,3.4e-09,0.15,1,28,0,1.04,3.0
"Ventricular Dysfunction, Left/ultrasonography",6.89e-28,3.69,78,200,6,108.42,4.0
"Carcinoma, Hepatocellular/metabolism",5.92e-10,1.16,5,342,0,5.07,4.0
NAD/metabolism,1.93e-08,0.05,1,6,0,1.17,3.0
DNA-Binding Proteins/physiology,4.3e-23,0.13,1,61,0,1.02,3.0
"Kidney Tubules, Proximal/metabolism",6.63e-07,0.1,2,10,0,2.4,6.0
Hyperglycemia/diagnosis,8.93e-19,7.36,30,57,3,45.79,4.0
Puberty,1.06e-26,2.62,103,5,1,5.24,3.0
Liver Neoplasms/diagnosis,6.86e-16,1.06,4,433,0,4.04,3.0
"Spectrum Analysis, Raman/methods",1.58e-07,0.12,3,14,0,3.64,4.0
Visual Perception/physiology,8.16e-29,0.09,19,6,1,7.89,4.0
Risk Factors,6.33e-09,3.51,20,66,7,26.06,5.0
Social Work,1.28e-11,0.05,1,10,0,1.1,3.0
Carbon Dioxide/chemistry,4.67e-06,0.08,1,7,0,1.14,3.0
Hypoglycemic Agents/therapeutic use,3.2e-154,6.85,899,946,46,1753.34,4.0
"Denture, Partial, Removable",1.37e-08,0.03,1,1,0,2.0,6.0
"Ultrasonography, Prenatal/methods",4.81e-06,2.12,48,192,1,60.0,5.0
Bone Marrow Cells/cytology,2.62e-08,0.27,4,53,0,4.3,2.0
Smoking,2.01e-07,1.03,117,104,10,196.44,4.0
Rectal Neoplasms/surgery,2.27e-21,4.18,90,1293,53,96.26,6.0
Inflammation/blood,1.19e-44,10.78,301,207,23,349.36,3.0
Migraine Disorders/epidemiology,1.01e-07,3.44,46,4,0,4.35,6.0
Mesenchymal Stromal Cells/cytology,6.84e-16,0.19,4,65,0,4.25,4.0
Mass Screening,7.68e-15,2.11,175,943,14,207.48,3.0
Colorectal Neoplasms/surgery,7.24e-18,6.85,58,1269,31,60.65,5.0
Pregnancy Complications/epidemiology,2.31e-120,7.83,287,425,32,480.81,2.0
Cytoskeletal Proteins/metabolism,1.1e-06,0.34,3,77,0,3.12,3.0
Halothane/pharmacology,3.18e-07,0.05,1,5,0,1.2,4.0
Anesthesia,2.8e-57,0.15,18,162,2,20.0,2.0
Research/standards,6.01e-07,0.15,1,20,0,1.05,3.0
Colonic Diseases/surgery,1.74e-24,4.81,38,289,35,43.0,4.0
Career Mobility,4.88e-10,0.06,4,2,0,3.0,4.0
Pirenzepine/analogs & derivatives,1.02e-07,1.83,31,8,0,10.06,6.0
Leadership,1.03e-39,0.09,9,56,0,10.45,3.0
Lithium/pharmacology,4.28e-07,0.05,1,4,0,1.25,4.0
Testis/metabolism,9.37e-14,0.06,2,12,0,2.33,4.0
Crohn Disease/surgery,1.71e-08,2.63,28,87,9,37.01,5.0
Coronary Artery Disease/genetics,1.26e-18,5.61,108,129,8,198.42,5.0
Bone Marrow Transplantation,2.18e-10,0.71,7,573,2,7.09,4.0
Thinking,1.28e-09,0.13,9,11,0,16.36,3.0
Blood Chemical Analysis,5.38e-09,0.14,12,4,1,5.33,4.0
Osteogenesis,3.3e-12,0.04,1,6,0,1.17,6.0
"Renal Insufficiency, Chronic/etiology",1.15e-16,9.27,20,53,4,27.55,5.0
Chronic Disease/prevention & control,1.99e-07,3.86,24,108,1,29.33,4.0
Skin,3.09e-16,0.12,15,11,0,19.07,2.0
Testis,1.08e-07,0.03,1,1,0,2.0,4.0
Patient Education as Topic,2.13e-14,1.27,194,288,15,324.68,4.0
Cell Communication/physiology,1.01e-08,0.08,1,11,0,1.09,3.0
"Diabetes Mellitus, Experimental/metabolism",3.06e-16,0.16,3,52,0,3.17,3.0
