Metabolite ID	Metabolite	Status	Pathway	Super_pathway	my_pathway	my_superpathway	Platform	Compound ID	Quant. Mass.	Retention Time	Spectra	CV(%)	Included in GWAS meta-analysis	Total N	name_lower	METABOLON_name	METABOLON SUB PATHWAY	PUBCHEM	KEGG
M01110	arachidonate (20:4n6)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		9.1	Y	"7,816"	arachidonate (20:4n6)	arachidonate (20:4n6)	Polyunsaturated Fatty Acid (n3 and n6)	444899	C00219
M17805	dihomo-linoleate (20:2n6)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		11.9	Y	"7,800"	dihomo-linoleate (20:2n6)	dihomo-linoleate (20:2n6)	Polyunsaturated Fatty Acid (n3 and n6)	6439848	C16525
M33587	eicosenoate (20:1n9 or 11)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		12.1	Y	"7,799"	eicosenoate (20:1n9 or 11)	NA	NA	NA	NA
M01121	margarate (17:0)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		13.2	Y	"7,796"	margarate (17:0)	margarate (17:0)	Long Chain Fatty Acid	10465	
M01365	myristate (14:0)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		8.6	Y	"7,811"	myristate (14:0)	myristate (14:0)	Long Chain Fatty Acid	11005	C06424
M32418	myristoleate (14:1n5)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		8.4	Y	"7,804"	myristoleate (14:1n5)	myristoleate (14:1n5)	Long Chain Fatty Acid	5281119	C08322
M01356	nonadecanoate (19:0)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		17.1	Y	"7,783"	nonadecanoate (19:0)	nonadecanoate (19:0)	Long Chain Fatty Acid	12591	C16535
M01359	oleate (18:1n9)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		8.6	Y	"7,768"	oleate (18:1n9)	NA	NA	NA	NA
M01336	palmitate (16:0)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		9	Y	"7,800"	palmitate (16:0)	palmitate (16:0)	Long Chain Fatty Acid	985	C00249
M33447	palmitoleate (16:1n7)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		8.9	Y	"7,776"	palmitoleate (16:1n7)	palmitoleate (16:1n7)	Long Chain Fatty Acid	445638	C08362
M01361	pentadecanoate (15:0)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	GC/MS	NA	NA	NA		24.1	Y	"7,502"	pentadecanoate (15:0)	pentadecanoate (15:0)	Long Chain Fatty Acid	13849	C16537
M01358	stearate (18:0)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		9.9	Y	"7,803"	stearate (18:0)	stearate (18:0)	Long Chain Fatty Acid	5281	C01530
M33969	stearidonate (18:4n3)	Known	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS neg	NA	NA	NA		14.9	Y	"7,775"	stearidonate (18:4n3)	stearidonate (18:4n3)	Polyunsaturated Fatty Acid (n3 and n6)	5312508	C16300
M33884	"X-12442--5,8-tetradecadienoate"	Identified	Long chain fatty acid	Lipid	Lipid: Long chain fatty acid	Lipid: Long chain fatty acid	LC/MS Neg	33884	223.4	5.28	69.2:0.4 71.4:0.4 75.4:0.2 79.1:0.3 80.1:0.2 81.2:0.3 83.3:1.5 84.4:0.4 95.4:0.4 97.3:0.6 99.2:0.2 106.1:0.2 107.1:0.3 109.2:0.3 110.3:0.1 112.1:0.1 117.4:0.1 119.4:0.5 121.2:0.3 123.1:0.4 124.2:0.4 125:0.2 126.2:0.3 127.5:0.4 137.3:0.3 138.2:0.2 139.2:0.4 140.2:0.4 141.2:0.3 142.1:0.4 144:0.3 146.3:0.2 147.5:0.3 149.3:0.5 150.3:0.2 151.3:0.3 152.3:0.2 153.3:0.2 154.1:0.2 155.2:1.1 156.2:0.3 157.2:0.2 161.4:0.3 162.1:0.2 163.2:0.3 164.2:0.4 165.2:0.1 166.2:0.1 167.3:0.4 169:0.4 176.2:0.3 177.2:0.5 177.8:0.4 178.3:0.6 179.3:4.3 180.2:0.4 181.5:0.5 183.2:0.2 186.3:0.2 187.3:1 188.5:0.2 189.5:0.3 191.2:2.3 192.2:0.8 193.1:3.3 194.1:0.7 194.8:0.5 195.3:0.6 196.3:0.3 199.4:0.1 202.4:2.7 203.3:2.5 204.6:3.2 205.3:56.8 206.3:3.5 207.1:0.4 207.6:0.2 208.2:0.5 209.1:0.8 210:0.4 213.1:0.2 217:0.1 221.1:0.1 222.5:83.9 223.3:100 224.3:35.8 224.9:0.1	14.8	Y	"7,780"	"x-12442--5,8-tetradecadienoate"	NA	NA	NA	NA
M33228	1-arachidonoylglycerophosphocholine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		39	Y	"7,507"	1-arachidonoylglycerophosphocholine*	NA	NA	NA	NA
M35186	1-arachidonoylglycerophosphoethanolamine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS neg	NA	NA	NA		33.7	Y	"7,798"	1-arachidonoylglycerophosphoethanolamine*	NA	NA	NA	NA
M34214	1-arachidonoylglycerophosphoinositol*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS neg	NA	NA	NA		22.4	Y	"7,797"	1-arachidonoylglycerophosphoinositol*	NA	NA	NA	NA
M33822	1-docosahexaenoylglycerophosphocholine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		45	Y	"7,798"	1-docosahexaenoylglycerophosphocholine*	NA	NA	NA	NA
M33871	1-eicosadienoylglycerophosphocholine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		73.3	Y	"6,892"	1-eicosadienoylglycerophosphocholine*	NA	NA	NA	NA
M33821	1-eicosatrienoylglycerophosphocholine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		39.9	Y	"7,809"	1-eicosatrienoylglycerophosphocholine*	NA	NA	NA	NA
M33957	1-heptadecanoylglycerophosphocholine	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		83.4	Y	"7,422"	1-heptadecanoylglycerophosphocholine	NA	NA	NA	NA
M34419	1-linoleoylglycerophosphocholine	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		35	Y	"7,795"	1-linoleoylglycerophosphocholine	NA	NA	NA	NA
M32635	1-linoleoylglycerophosphoethanolamine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS neg	NA	NA	NA		31	Y	"7,817"	1-linoleoylglycerophosphoethanolamine*	NA	NA	NA	NA
M35626	1-myristoylglycerophosphocholine	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		42.8	Y	"7,812"	1-myristoylglycerophosphocholine	NA	NA	NA	NA
M33960	1-oleoylglycerophosphocholine	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		39.9	Y	"7,812"	1-oleoylglycerophosphocholine	NA	NA	NA	NA
M35628	1-oleoylglycerophosphoethanolamine	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS neg	NA	NA	NA		33	Y	"7,749"	1-oleoylglycerophosphoethanolamine	NA	NA	NA	NA
M33230	1-palmitoleoylglycerophosphocholine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		41.9	Y	"7,812"	1-palmitoleoylglycerophosphocholine*	NA	NA	NA	NA
M33955	1-palmitoylglycerophosphocholine	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		24.3	Y	"7,803"	1-palmitoylglycerophosphocholine	NA	NA	NA	NA
M35631	1-palmitoylglycerophosphoethanolamine	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS neg	NA	NA	NA		28.8	Y	"7,763"	1-palmitoylglycerophosphoethanolamine	NA	NA	NA	NA
M35305	1-palmitoylglycerophosphoinositol*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS neg	NA	NA	NA		23.3	Y	"6,282"	1-palmitoylglycerophosphoinositol*	NA	NA	NA	NA
M39270	1-palmitoylplasmenylethanolamine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS Neg	NA	NA	NA		31.6		"4,948"	1-palmitoylplasmenylethanolamine*	NA	NA	NA	NA
M33961	1-stearoylglycerophosphocholine	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		84.9	Y	"7,817"	1-stearoylglycerophosphocholine	NA	NA	NA	NA
M34416	1-stearoylglycerophosphoethanolamine	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS neg	NA	NA	NA		38.5	Y	"7,369"	1-stearoylglycerophosphoethanolamine	NA	NA	NA	NA
M19324	1-stearoylglycerophosphoinositol	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS neg	NA	NA	NA		21.3	Y	"7,694"	1-stearoylglycerophosphoinositol	NA	NA	NA	NA
M35257	2-linoleoylglycerophosphocholine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		45.9	Y	"6,894"	2-linoleoylglycerophosphocholine*	NA	NA	NA	NA
M36593	2-linoleoylglycerophosphoethanolamine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS neg	NA	NA	NA		42.4		"1,072"	2-linoleoylglycerophosphoethanolamine*	NA	NA	NA	NA
M35254	2-oleoylglycerophosphocholine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		113.1	Y	"7,524"	2-oleoylglycerophosphocholine*	NA	NA	NA	NA
M35253	2-palmitoylglycerophosphocholine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		42.7	Y	"7,695"	2-palmitoylglycerophosphocholine*	NA	NA	NA	NA
M35255	2-stearoylglycerophosphocholine*	Known	Lysolipid	Lipid	Lipid: Lysolipid	Lipid: Lysolipid	LC/MS pos	NA	NA	NA		96.6	Y	"7,730"	2-stearoylglycerophosphocholine*	NA	NA	NA	NA
M32497	10-undecenoate (11:1n1)	Known	Medium chain fatty acid	Lipid	Lipid: Medium chain fatty acid	Lipid: Medium chain fatty acid	LC/MS neg	NA	NA	NA		15.9	Y	"7,806"	10-undecenoate (11:1n1)	10-undecenoate (11:1n1)	Medium Chain Fatty Acid	14891	C13910
M33968	5-dodecenoate (12:1n7)	Known	Medium chain fatty acid	Lipid	Lipid: Medium chain fatty acid	Lipid: Medium chain fatty acid	LC/MS neg	NA	NA	NA		12.5	Y	"7,770"	5-dodecenoate (12:1n7)	5-dodecenoate (12:1n7)	Medium Chain Fatty Acid	5312378	
M10642	caprate (10:0)	Known	Medium chain fatty acid	Lipid	Lipid: Medium chain fatty acid	Lipid: Medium chain fatty acid	LC/MS Neg	NA	NA	NA		NA	Y	"7,799"	caprate (10:0)	caprate (10:0)	Medium Chain Fatty Acid	2969	C01571
M32489	caproate (6:0)	Known	Medium chain fatty acid	Lipid	Lipid: Medium chain fatty acid	Lipid: Medium chain fatty acid	LC/MS neg	NA	NA	NA		11.9	Y	"7,811"	caproate (6:0)	caproate (6:0)	Medium Chain Fatty Acid	8892	C01585
M32492	caprylate (8:0)	Known	Medium chain fatty acid	Lipid	Lipid: Medium chain fatty acid	Lipid: Medium chain fatty acid	LC/MS neg	NA	NA	NA		9.6	Y	"7,802"	caprylate (8:0)	caprylate (8:0)	Medium Chain Fatty Acid	379	C06423
M01644	heptanoate (7:0)	Known	Medium chain fatty acid	Lipid	Lipid: Medium chain fatty acid	Lipid: Medium chain fatty acid	LC/MS neg	NA	NA	NA		11.3	Y	"7,802"	heptanoate (7:0)	heptanoate (7:0)	Medium Chain Fatty Acid	8094	C17714
M01645	laurate (12:0)	Known	Medium chain fatty acid	Lipid	Lipid: Medium chain fatty acid	Lipid: Medium chain fatty acid	LC/MS neg	NA	NA	NA		8.6	Y	"7,793"	laurate (12:0)	laurate (12:0)	Medium Chain Fatty Acid	3893	C02679
M12035	pelargonate (9:0)	Known	Medium chain fatty acid	Lipid	Lipid: Medium chain fatty acid	Lipid: Medium chain fatty acid	LC/MS neg	NA	NA	NA		9.6	Y	"7,803"	pelargonate (9:0)	NA	NA	NA	NA
M12067	undecanoate (11:0)	Known	Medium chain fatty acid	Lipid	Lipid: Medium chain fatty acid	Lipid: Medium chain fatty acid	LC/MS neg	NA	NA	NA		15.5	Y	"7,500"	undecanoate (11:0)	undecanoate (11:0)	Medium Chain Fatty Acid	8180	C17715
M27447	1-linoleoylglycerol (1-monolinolein)	Known	Monoacylglycerol	Lipid	Lipid: Monoacylglycerol	Lipid: Monoacylglycerol	LC/MS neg	NA	NA	NA		75	Y	"2,797"	1-linoleoylglycerol (1-monolinolein)	NA	NA	NA	NA
M21184	1-oleoylglycerol (1-monoolein)	Known	Monoacylglycerol	Lipid	Lipid: Monoacylglycerol	Lipid: Monoacylglycerol	LC/MS pos	NA	NA	NA		111.4	Y	"5,717"	1-oleoylglycerol (1-monoolein)	NA	NA	NA	NA
M21127	1-palmitoylglycerol (1-monopalmitin)	Known	Monoacylglycerol	Lipid	Lipid: Monoacylglycerol	Lipid: Monoacylglycerol	GC/MS	NA	NA	NA		19.9	Y	"7,429"	1-palmitoylglycerol (1-monopalmitin)	NA	NA	NA	NA
M21188	1-stearoylglycerol (1-monostearin)	Known	Monoacylglycerol	Lipid	Lipid: Monoacylglycerol	Lipid: Monoacylglycerol	GC/MS	NA	NA	NA		22.2	Y	"6,965"	1-stearoylglycerol (1-monostearin)	NA	NA	NA	NA
M37202	"4-androsten-3beta,17beta-diol disulfate 1*"	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS Neg	NA	NA	NA		5.8	Y	"7,804"	"4-androsten-3beta,17beta-diol disulfate 1*"	NA	NA	NA	NA
M37203	"4-androsten-3beta,17beta-diol disulfate 2*"	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS Neg	NA	NA	NA		6.5	Y	"7,776"	"4-androsten-3beta,17beta-diol disulfate 2*"	NA	NA	NA	NA
M37190	"5alpha-androstan-3beta,17beta-diol disulfate"	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS Neg	NA	NA	NA		7.5	Y	"7,345"	"5alpha-androstan-3beta,17beta-diol disulfate"	"5alpha-androstan-3beta,17beta-diol disulfate"	Androgenic Steroids	242332	C12525
M37198	"5alpha-pregnan-3beta,20alpha-diol disulfate"	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS Neg	NA	NA	NA		9.3		"4,229"	"5alpha-pregnan-3beta,20alpha-diol disulfate"	"5alpha-pregnan-3beta,20alpha-diol disulfate"	Progestin Steroids	NA	
M36776	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS neg	NA	NA	NA		32.2	Y	"7,784"	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-hoca)	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	Sterol	3081085	C17337
M31591	androsterone sulfate	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS neg	NA	NA	NA		7.4	Y	"7,785"	androsterone sulfate	androsterone sulfate	Androgenic Steroids	159663	
M00063	cholesterol	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	GC/MS	NA	NA	NA		9.3	Y	"7,813"	cholesterol	cholesterol	Sterol	11025495	C00187
M01712	cortisol	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS pos	NA	NA	NA		7.2	Y	"7,795"	cortisol	cortisol	Corticosteroids	5754	C00735
M01769	cortisone	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS pos	NA	NA	NA		15.3	Y	"7,575"	cortisone	cortisone	Corticosteroids	222786	C00762
M32425	dehydroisoandrosterone sulfate (DHEA-S)	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS neg	NA	NA	NA		6	Y	"7,793"	dehydroisoandrosterone sulfate (dhea-s)	dehydroisoandrosterone sulfate (DHEA-S)	Androgenic Steroids	12594	C04555
M33973	epiandrosterone sulfate	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS neg	NA	NA	NA		6.9	Y	"7,769"	epiandrosterone sulfate	epiandrosterone sulfate	Androgenic Steroids	9929317	
M18474	estrone 3-sulfate	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS neg	NA	NA	NA		22.8	Y	957	estrone 3-sulfate	estrone 3-sulfate	Estrogenic Steroids	3001028	C02538
M33488	lathosterol	Known	"Sterol, Steroid"	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	GC/MS	NA	NA	NA		30.3	Y	"5,457"	lathosterol	NA	NA	NA	NA
M32762	"X-11445--5-alpha-pregnan-3beta,20alpha-disulfate"	Identified	Sterol/Steroid	Lipid	"Lipid: Sterol, Steroid"	"Lipid: Sterol, Steroid"	LC/MS Neg	NA	NA	NA		10.3	Y	"2,570"	"x-11445--5-alpha-pregnan-3beta,20alpha-disulfate"	NA	NA	NA	NA
M33510	X-12095--N1-methyl-3-pyridone-4-carboxamide	Identified	NAD metabolism	Nucleotide	Nucleotide	Nucleotide	LC/MS Pos	33510	153.1	1.6	107.1:0.6 121.1:0.2 124.2:0.2 125.1:0.1 136:100 137.1:3 152.2:0.1 153.1:1.3 154.1:6.6 155.1:0.3 168.1:0.1	13.1	Y	"7,711"	x-12095--n1-methyl-3-pyridone-4-carboxamide	NA	NA	NA	NA
M03127	hypoxanthine	Known	"Purine metabolism, (hypo)xanthine, inosine containing"	Nucleotide	Nucleotide: Purine metabolism	Nucleotide	LC/MS neg	NA	NA	NA		29	Y	"7,287"	hypoxanthine	hypoxanthine	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	790	C00262
M01123	inosine	Known	"Purine metabolism, (hypo)xanthine, inosine containing"	Nucleotide	Nucleotide: Purine metabolism	Nucleotide	LC/MS neg	NA	NA	NA		NA	Y	"2,675"	inosine	inosine	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	6021	C00294
M03147	xanthine	Known	"Purine metabolism, (hypo)xanthine, inosine containing"	Nucleotide	Nucleotide: Purine metabolism	Nucleotide	LC/MS pos	NA	NA	NA		33.8	Y	"6,845"	xanthine	xanthine	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	1188	C00385
M32739	X-11422--xanthine	Identified	"Purine metabolism, (hypo)xanthine/inosine containing"	Nucleotide	Nucleotide: Purine metabolism	Nucleotide	LC/MS Neg	NA	NA	NA		30.7	Y	"6,346"	x-11422--xanthine	NA	NA	NA	NA
M00555	adenosine	Known	"Purine metabolism, adenine containing"	Nucleotide	Nucleotide: Purine metabolism	Nucleotide	LC/MS pos	NA	NA	NA		NA		406	adenosine	NA	NA	NA	NA
M15650	N1-methyladenosine	Known	"Purine metabolism, adenine containing"	Nucleotide	Nucleotide: Purine metabolism	Nucleotide	LC/MS pos	NA	NA	NA		13.1	Y	"7,813"	n1-methyladenosine	N1-methyladenosine	"Purine Metabolism, Adenine containing"	27476	C02494
M35114	7-methylguanine	Known	"Purine metabolism, guanine containing"	Nucleotide	Nucleotide: Purine metabolism	Nucleotide	LC/MS pos	NA	NA	NA		43.3	Y	"6,091"	7-methylguanine	7-methylguanine	"Purine Metabolism, Guanine containing"	11361	C02242
M01573	guanosine	Known	"Purine metabolism, guanine containing"	Nucleotide	Nucleotide: Purine metabolism	Nucleotide	LC/MS pos	NA	NA	NA		NA	Y	"2,343"	guanosine	guanosine	"Purine Metabolism, Guanine containing"	6802	C00387
M35137	"N2,N2-dimethylguanosine"	Known	"Purine metabolism, guanine containing"	Nucleotide	Nucleotide: Purine metabolism	Nucleotide	LC/MS pos	NA	NA	NA		18.4	Y	"5,228"	"n2,n2-dimethylguanosine"	"N2,N2-dimethylguanosine"	"Purine Metabolism, Guanine containing"	92919	
M01107	allantoin	Known	"Purine metabolism, urate metabolism"	Nucleotide	Nucleotide: Purine metabolism	Nucleotide	GC/MS	NA	NA	NA		27.9	Y	"5,705"	allantoin	allantoin	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	204	C02350
M01604	urate	Known	"Purine metabolism, urate metabolism"	Nucleotide	Nucleotide: Purine metabolism	Nucleotide	LC/MS neg	NA	NA	NA		5.1	Y	"7,819"	urate	urate	"Purine Metabolism, (Hypo)Xanthine/Inosine containing"	1175	C00366
M33442	pseudouridine	Known	"Pyrimidine metabolism, uracil containing"	Nucleotide	"Nucleotide: Pyrimidine metabolism, uracil containing"	Nucleotide	LC/MS pos	NA	NA	NA		12.6	Y	"7,785"	pseudouridine	pseudouridine	"Pyrimidine Metabolism, Uracil containing"	15047	C02067
M00606	uridine	Known	"Pyrimidine metabolism, uracil containing"	Nucleotide	"Nucleotide: Pyrimidine metabolism, uracil containing"	Nucleotide	LC/MS neg	NA	NA	NA		6.3	Y	"7,800"	uridine	uridine	"Pyrimidine Metabolism, Uracil containing"	6029	C00299
M22175	aspartylphenylalanine	Known	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS pos	NA	NA	NA		22.5	Y	"3,948"	aspartylphenylalanine	NA	NA	NA	NA
M37104	cyclo(leu-pro)	Known	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS Pos	NA	NA	NA		27.3	Y	"4,833"	cyclo(leu-pro)	NA	NA	NA	NA
M18357	glycylvaline	Known	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS pos	NA	NA	NA		NA	Y	"2,108"	glycylvaline	glycylvaline	Dipeptide	97417	
M36756	leucylleucine	Known	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS pos	NA	NA	NA		10.6	Y	"3,386"	leucylleucine	NA	NA	NA	NA
M38150	phenylalanylphenylalanine	Known	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS Pos	NA	NA	NA		26.4	Y	"4,961"	phenylalanylphenylalanine	NA	NA	NA	NA
M35127	pro-hydroxy-pro	Known	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS pos	NA	NA	NA		18.6	Y	"7,787"	pro-hydroxy-pro	pro-hydroxy-pro	Urea cycle; Arginine and Proline Metabolism	11673055	
M31522	pyroglutamylglycine	Known	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS neg	NA	NA	NA		8.2	Y	"1,586"	pyroglutamylglycine	NA	NA	NA	NA
M33666	X-12244--N-acetylcarnosine	Identified	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS Pos	NA	NA	NA		14.4	Y	"6,608"	x-12244--n-acetylcarnosine	NA	NA	NA	NA
M36115	X-14189--leucylalanine	Identified	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS Pos	NA	NA	NA		8.3	Y	"2,745"	x-14189--leucylalanine	NA	NA	NA	NA
M36131	X-14205--alpha-glutamyltyrosine	Identified	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS Pos	NA	NA	NA		13.5	Y	"1,789"	x-14205--alpha-glutamyltyrosine	NA	NA	NA	NA
M36134	X-14208--phenylalanylserine	Identified	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS Pos	NA	NA	NA		20.7	Y	"2,455"	x-14208--phenylalanylserine	NA	NA	NA	NA
M36230	X-14304--leucylalanine	Identified	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS Neg	NA	NA	NA		13.2	Y	"2,434"	x-14304--leucylalanine	NA	NA	NA	NA
M36376	X-14450--phenylalanylleucine	Identified	Dipeptide	Peptide	Peptide: Dipeptide	Peptide	LC/MS Pos	NA	NA	NA		16	Y	"2,555"	x-14450--phenylalanylleucine	NA	NA	NA	NA
M33801	ADpSGEGDFXAEGGGVR*	Known	Fibrinogen cleavage peptide	Peptide	Peptide: Fibrinogen cleavage peptide	Peptide: Fibrinogen cleavage peptide	LC/MS pos	NA	NA	NA		22.2	Y	"3,939"	adpsgegdfxaegggvr*	NA	NA	NA	NA
M33084	ADSGEGDFXAEGGGVR*	Known	Fibrinogen cleavage peptide	Peptide	Peptide: Fibrinogen cleavage peptide	Peptide: Fibrinogen cleavage peptide	LC/MS pos	NA	NA	NA		11.9	Y	"5,588"	adsgegdfxaegggvr*	NA	NA	NA	NA
M31548	DSGEGDFXAEGGGVR*	Known	Fibrinogen cleavage peptide	Peptide	Peptide: Fibrinogen cleavage peptide	Peptide: Fibrinogen cleavage peptide	LC/MS pos	NA	NA	NA		17.8	Y	"5,371"	dsgegdfxaegggvr*	NA	NA	NA	NA
M36738	gamma-glutamylglutamate	Known	gamma-glutamyl	Peptide	Peptide: gamma-glutamyl	Peptide: gamma-glutamyl	LC/MS pos	NA	NA	NA		20.1	Y	931	gamma-glutamylglutamate	gamma-glutamylglutamate	Gamma-glutamyl Amino Acid	92865	C05282
M02730	gamma-glutamylglutamine	Known	gamma-glutamyl	Peptide	Peptide: gamma-glutamyl	Peptide: gamma-glutamyl	LC/MS pos	NA	NA	NA		29.7	Y	"7,662"	gamma-glutamylglutamine	gamma-glutamylglutamine	Gamma-glutamyl Amino Acid	150914	C05283
M34456	gamma-glutamylisoleucine*	Known	gamma-glutamyl	Peptide	Peptide: gamma-glutamyl	Peptide: gamma-glutamyl	LC/MS pos	NA	NA	NA		12.8	Y	"5,522"	gamma-glutamylisoleucine*	gamma-glutamylisoleucine*	Gamma-glutamyl Amino Acid	14253342	
M18369	gamma-glutamylleucine	Known	gamma-glutamyl	Peptide	Peptide: gamma-glutamyl	Peptide: gamma-glutamyl	LC/MS pos	NA	NA	NA		9.3	Y	"7,802"	gamma-glutamylleucine	gamma-glutamylleucine	Gamma-glutamyl Amino Acid	151023	
